baseline,seed,region,tS_wis_h1,tS_wis_h2,tS_wis_h3,tS_wis_h4,tS_cov95_h1,tS_cov95_h2,tS_cov95_h3,tS_cov95_h4
cg_mamba,1024,hhs6,0.3348129401999277,0.4543532720152507,0.5319937848605055,0.6148483805437813,1.0,0.94,0.9139072847682119,0.8486842105263158
cg_mamba,42,hhs7,0.20053234604969597,0.28650347391337266,0.355422802773267,0.42676726184000313,0.9932885906040269,0.9666666666666667,0.9271523178807947,0.8947368421052632
cg_mamba,123,hhs7,0.19828971722473807,0.2844538463751587,0.3812496989720506,0.45416321121964676,0.9932885906040269,0.96,0.9006622516556292,0.8618421052631579
cg_mamba,456,hhs7,0.19485586837909072,0.28037052010764174,0.3445175129259232,0.4025892208937801,1.0,0.9666666666666667,0.9205298013245033,0.9144736842105263
cg_mamba,789,hhs7,0.19716180516003007,0.2797285763365695,0.35171477659570094,0.41789238780304205,1.0,0.9666666666666667,0.9271523178807947,0.9078947368421053
cg_mamba,1024,hhs7,0.19767391648877525,0.2871101406929453,0.36317636323856073,0.44108788776646424,1.0,0.96,0.9139072847682119,0.868421052631579
cg_mamba,42,hhs8,0.23773729728852844,0.3119645937875606,0.3748977940249501,0.4368439165489021,1.0,0.9866666666666667,0.9403973509933775,0.9210526315789473
cg_mamba,123,hhs8,0.2295668674126887,0.2959915850644447,0.3902835286249257,0.46564272593120243,1.0,0.9933333333333333,0.9470198675496688,0.9013157894736842
cg_mamba,456,hhs8,0.22722775482663513,0.2986244137552806,0.3616580348498641,0.4136808714088614,1.0,0.9933333333333333,0.9470198675496688,0.9407894736842105
cg_mamba,789,hhs8,0.22817619455013885,0.2944209544471966,0.3617959695812256,0.41950884271083533,1.0,1.0,0.9536423841059603,0.9407894736842105
cg_mamba,1024,hhs8,0.22726714385390764,0.29717548438903596,0.352745567408845,0.4258460657733163,1.0,0.9933333333333333,0.9602649006622517,0.9276315789473685
cg_mamba,42,hhs9,0.3318369548479801,0.4123439608244337,0.4705793051681498,0.5253092500637705,1.0,0.9866666666666667,0.9602649006622517,0.9539473684210527
cg_mamba,123,hhs9,0.3242133346097599,0.3902360277971001,0.4651866789116838,0.5180663271354996,1.0,0.9933333333333333,0.9735099337748344,0.9539473684210527
cg_mamba,456,hhs9,0.3237175024852268,0.3965688221647389,0.44809028111843363,0.4867393694031237,1.0,0.9933333333333333,0.9735099337748344,0.9671052631578947
