baseline,seed,n_full,n_strict,dropout,tF_wis_h1,tF_cov95_h1,tS_wis_h1,tS_cov95_h1,tF_wis_h2,tF_cov95_h2,tS_wis_h2,tS_cov95_h2,tF_wis_h3,tF_cov95_h3,tS_wis_h3,tS_cov95_h3,tF_wis_h4,tF_cov95_h4,tS_wis_h4,tS_cov95_h4,region
vanilla_mamba,42,254,149,0.1,0.4226244803195904,0.5196850393700787,0.46570302681582715,0.46308724832214765,0.6395969981412208,0.3661417322834646,0.6770595230399119,0.348993288590604,0.9038742804420155,0.27165354330708663,0.963996815740245,0.21476510067114093,1.0282854257949978,0.21653543307086615,1.079986203186255,0.1610738255033557,hhs2
vanilla_mamba,123,254,149,0.1,0.4308848497758211,0.4094488188976378,0.4700382343446822,0.3959731543624161,0.5882684641541867,0.3228346456692913,0.640895144246673,0.2953020134228188,0.8600341212368919,0.1732283464566929,0.9168786932366703,0.16778523489932887,1.0019466048594372,0.2047244094488189,1.006498120274772,0.22818791946308725,hhs2
vanilla_mamba,456,254,149,0.1,0.43776268485391523,0.4763779527559055,0.47768436848856394,0.4899328859060403,0.577946547918718,0.3937007874015748,0.6399484790293302,0.33557046979865773,0.731102588839908,0.3228346456692913,0.8318945523659064,0.2348993288590604,0.937649414208563,0.16141732283464566,1.0670050040516172,0.11409395973154363,hhs2
vanilla_mamba,789,254,149,0.1,0.32154085574616154,0.7362204724409449,0.3393033930399274,0.785234899328859,0.564019444873075,0.594488188976378,0.5563579378736447,0.6308724832214765,0.838209030043381,0.3661417322834646,0.8466106703721785,0.348993288590604,1.0473858416241932,0.3031496062992126,1.0934567196669367,0.2550335570469799,hhs2
vanilla_mamba,1024,254,149,0.1,0.362479732467658,0.6614173228346457,0.4086700972294648,0.6510067114093959,0.621528123627069,0.4409448818897638,0.6478854817781639,0.40268456375838924,0.8094802348967163,0.31496062992125984,0.8020660223166379,0.28187919463087246,0.9349786871266627,0.23622047244094488,0.9245211982700964,0.2080536912751678,hhs2
patchtst,42,254,149,0.1,0.31437613084070576,0.6338582677165354,0.3129388774672715,0.6577181208053692,0.4612914676751555,0.5787401574803149,0.46336525056047,0.6510067114093959,0.579798005494056,0.547244094488189,0.5781469833555185,0.5704697986577181,0.7184217162376723,0.468503937007874,0.687241349004259,0.4899328859060403,hhs2
patchtst,123,254,149,0.1,0.3387971279091396,0.6496062992125984,0.29532324925295494,0.7315436241610739,0.43656239003218517,0.6299212598425197,0.3985685735514814,0.7114093959731543,0.5414384749467468,0.5826771653543307,0.48209768903091976,0.6711409395973155,0.63832164234982,0.594488188976378,0.5852732990780829,0.6778523489932886,hhs2
patchtst,456,254,149,0.1,0.35827689430498166,0.6614173228346457,0.3656203059750811,0.697986577181208,0.4653726162728036,0.6259842519685039,0.4572545124164712,0.6912751677852349,0.5401720538807829,0.5905511811023622,0.5171721302673356,0.6510067114093959,0.6034145549001942,0.5826771653543307,0.548534895176438,0.6442953020134228,hhs2
patchtst,789,254,149,0.1,0.31865525596540134,0.6811023622047244,0.2830448254604607,0.7583892617449665,0.41458531537863214,0.6811023622047244,0.38905721918083264,0.7315436241610739,0.4916821527111738,0.65748031496063,0.49992900009088487,0.6912751677852349,0.599127593222892,0.6259842519685039,0.5754062512684814,0.6711409395973155,hhs2
patchtst,1024,254,149,0.1,0.26720131624988686,0.8661417322834646,0.23026488357272756,0.9395973154362416,0.3795817866909054,0.8149606299212598,0.3459588527475949,0.8590604026845637,0.48352616381161595,0.7204724409448819,0.4319397737860227,0.785234899328859,0.5313311820889057,0.7125984251968503,0.5462491544114976,0.738255033557047,hhs2
lstm,42,254,149,0.3,0.14083652773006694,0.7874015748031497,0.1366351096498608,0.8322147651006712,0.25984437946586,0.6417322834645669,0.24912908635944397,0.697986577181208,0.3533395421942674,0.5669291338582677,0.3246538768880459,0.6510067114093959,0.4644997924945812,0.48031496062992124,0.39741132645155475,0.5973154362416108,hhs3
lstm,123,254,149,0.3,0.1266964402292861,0.8188976377952756,0.13252931657062178,0.8389261744966443,0.22129311731195497,0.6614173228346457,0.22458026962740135,0.7181208053691275,0.31522896148282264,0.5039370078740157,0.308267224250676,0.5704697986577181,0.41404405225980206,0.4566929133858268,0.3716802092150902,0.5302013422818792,hhs3
lstm,456,254,149,0.3,0.14126928197188723,0.7559055118110236,0.13864291211537452,0.7718120805369127,0.26717260542633353,0.594488188976378,0.2636725138838729,0.6644295302013423,0.3875532053832892,0.4448818897637795,0.37795031601376666,0.5100671140939598,0.4938033571852596,0.35039370078740156,0.4681565130774399,0.42953020134228187,hhs3
lstm,789,254,149,0.3,0.15129248665247175,0.7637795275590551,0.15024585839225071,0.8053691275167785,0.26391464631337497,0.5748031496062992,0.25292571852184226,0.6644295302013423,0.3624512285664448,0.49606299212598426,0.3397986249623509,0.5704697986577181,0.47156975895717346,0.4251968503937008,0.42359153478459366,0.4899328859060403,hhs3
lstm,1024,254,149,0.3,0.1869426625777254,0.6259842519685039,0.16598245200868733,0.7449664429530202,0.2679761870395684,0.531496062992126,0.24947070083449108,0.6241610738255033,0.32774784205599383,0.43700787401574803,0.29154816898010477,0.5637583892617449,0.3815608008222725,0.38188976377952755,0.33015147250805504,0.48322147651006714,hhs3
vanilla_mamba,42,254,149,0.1,0.16474640505622407,0.8818897637795275,0.17521520812761204,0.8791946308724832,0.2369926175268514,0.7834645669291339,0.2582399243998187,0.7919463087248322,0.27243846352471346,0.7677165354330708,0.306564533176699,0.7583892617449665,0.29499144006815115,0.7677165354330708,0.3037938406973042,0.7919463087248322,hhs3
vanilla_mamba,123,254,149,0.1,0.21966753757283605,0.531496062992126,0.23837261593668813,0.5302013422818792,0.28874795199981174,0.5787401574803149,0.2968849206577768,0.5906040268456376,0.3607888515102806,0.46062992125984253,0.35345460906029097,0.47651006711409394,0.44307160522249295,0.4094488188976378,0.392931973354998,0.436241610738255,hhs3
vanilla_mamba,456,254,149,0.1,0.1978130135074314,0.7598425196850394,0.22099873041503104,0.738255033557047,0.2611039018766679,0.7519685039370079,0.2812110115529881,0.7315436241610739,0.3055304805405925,0.7204724409448819,0.3056025759995349,0.7248322147651006,0.3637842376990189,0.5078740157480315,0.3638446109636266,0.4966442953020134,hhs3
vanilla_mamba,789,254,149,0.1,0.1776008106283499,0.8937007874015748,0.153224468110757,0.9328859060402684,0.2686474069288636,0.8307086614173228,0.23704053282407272,0.8993288590604027,0.34570930382098464,0.7952755905511811,0.29387087625379915,0.87248322147651,0.3875432593746443,0.7874015748031497,0.3464681004208024,0.8187919463087249,hhs3
vanilla_mamba,1024,254,149,0.1,0.1615713764658247,0.905511811023622,0.1830413510868457,0.8993288590604027,0.28693260118829517,0.7165354330708661,0.3016010419610015,0.7114093959731543,0.36968789212612285,0.6496062992125984,0.36640194477998794,0.6442953020134228,0.41564289546740346,0.6456692913385826,0.3759350465725524,0.6577181208053692,hhs3
patchtst,42,254,149,0.1,0.22962714903462184,0.6299212598425197,0.21436871340419517,0.6711409395973155,0.3354381265080841,0.5708661417322834,0.3280903807756398,0.5973154362416108,0.4017872393021577,0.5275590551181102,0.3944748814427057,0.5637583892617449,0.5031530569825872,0.5,0.46054709425030277,0.5302013422818792,hhs3
patchtst,123,254,149,0.1,0.2422522170581013,0.6535433070866141,0.2082081887158145,0.7583892617449665,0.30453683426611966,0.6456692913385826,0.29717004031142935,0.7181208053691275,0.37237659841505516,0.6141732283464567,0.34412909716985157,0.6845637583892618,0.43725407418262785,0.6023622047244095,0.3964297473517596,0.6912751677852349,hhs3
patchtst,456,254,149,0.1,0.2610251430320295,0.6377952755905512,0.2726977895891176,0.6778523489932886,0.3523268911930153,0.5866141732283464,0.3617684337320223,0.6241610738255033,0.4089234436937735,0.547244094488189,0.4031045659514743,0.6040268456375839,0.4469944476992535,0.5590551181102362,0.41584150026569505,0.6241610738255033,hhs3
patchtst,789,254,149,0.1,0.2290602574719117,0.6299212598425197,0.21384844250735716,0.7114093959731543,0.3261377218546769,0.6259842519685039,0.3228225970903951,0.697986577181208,0.3775138974821055,0.6181102362204725,0.3931583430807845,0.6845637583892618,0.43973689914652636,0.594488188976378,0.4241051000611476,0.6778523489932886,hhs3
patchtst,1024,254,149,0.1,0.1964257581904148,0.8543307086614174,0.16908384854422387,0.9194630872483222,0.2653681373105683,0.8464566929133859,0.24422054431244936,0.9060402684563759,0.33305570754167374,0.7834645669291339,0.2995236200515139,0.8859060402684564,0.37241415825117513,0.7283464566929134,0.36525769776856815,0.785234899328859,hhs3
lstm,42,254,149,0.3,0.2165780314639879,0.7244094488188977,0.2328082908039925,0.7248322147651006,0.4253375286163838,0.5039370078740157,0.42307196433564337,0.4966442953020134,0.5532750277985902,0.43700787401574803,0.5143724154199842,0.46308724832214765,0.7040073961019517,0.3464566929133858,0.6151128081075994,0.40939597315436244,hhs4
lstm,123,254,149,0.3,0.20470506602466537,0.7834645669291339,0.2309975047942185,0.7516778523489933,0.3929341220892443,0.5275590551181102,0.41358504203481095,0.5033557046979866,0.5567002032132476,0.40551181102362205,0.5681024050448217,0.4228187919463087,0.6886793959358097,0.3464566929133858,0.6562653186368567,0.3422818791946309,hhs4
lstm,456,254,149,0.3,0.2544872655270851,0.7007874015748031,0.2572384571196005,0.7248322147651006,0.45510682772076,0.46062992125984253,0.4153279981183213,0.5302013422818792,0.6761455906032292,0.3346456692913386,0.5839032844584712,0.3624161073825503,0.8097503627487259,0.2637795275590551,0.6606821102460481,0.30201342281879195,hhs4
lstm,789,254,149,0.3,0.23514177547889553,0.7204724409448819,0.25874689106625376,0.6912751677852349,0.41405296597975405,0.5354330708661418,0.39776918812677464,0.5637583892617449,0.5630940951918625,0.3700787401574803,0.5024223491451223,0.3825503355704698,0.7182808329060405,0.33858267716535434,0.5909202146230997,0.37583892617449666,hhs4
lstm,1024,254,149,0.3,0.2167755375796905,0.7165354330708661,0.24491764988257791,0.7046979865771812,0.43040387658683543,0.4566929133858268,0.4903011317321988,0.4161073825503356,0.6279392264182949,0.2992125984251969,0.6969004775380684,0.3087248322147651,0.7896503128302664,0.1889763779527559,0.8736343495583861,0.19463087248322147,hhs4
vanilla_mamba,42,254,149,0.1,0.29921103543643063,0.7362204724409449,0.34486642594253286,0.697986577181208,0.4502722164351865,0.4921259842519685,0.4964011811025643,0.4161073825503356,0.6089642905133487,0.3779527559055118,0.6704295610631038,0.2751677852348993,0.682835201644675,0.37401574803149606,0.7332329380210475,0.28187919463087246,hhs4
vanilla_mamba,123,254,149,0.1,0.28536940904410074,0.531496062992126,0.3279588761740466,0.4966442953020134,0.43575360033761884,0.4251968503937008,0.45880653520836795,0.40268456375838924,0.6452894875413342,0.23622047244094488,0.667238067607856,0.2080536912751678,0.7924549514960239,0.16929133858267717,0.7792801981562596,0.1610738255033557,hhs4
vanilla_mamba,456,254,149,0.1,0.30283850573464965,0.6181102362204725,0.3677894527104425,0.5100671140939598,0.4105675340100781,0.6023622047244095,0.46937669236005347,0.5570469798657718,0.5534057341667019,0.48031496062992124,0.6229215535391063,0.4161073825503356,0.6976347393991706,0.35826771653543305,0.7993147339835993,0.2684563758389262,hhs4
