tF_wis_h1,tF_cov95_h1,tS_wis_h1,tS_cov95_h1,tF_wis_h2,tF_cov95_h2,tS_wis_h2,tS_cov95_h2,tF_wis_h3,tF_cov95_h3,tS_wis_h3,tS_cov95_h3,tF_wis_h4,tF_cov95_h4,tS_wis_h4,tS_cov95_h4,n_full,n_strict,region,baseline,seed
0.18654243476987065,0.937007874015748,0.23032041854332083,0.8993288590604027,0.2913837065538947,0.8976377952755905,0.33796967344158757,0.8657718120805369,0.3589825164280202,0.8818897637795275,0.40143448214958494,0.87248322147651,0.41691452070916185,0.8070866141732284,0.4387914818724164,0.8456375838926175,254,149,hhs1,vanilla_mamba,1024
0.2723027070369161,0.8818897637795275,0.3017326125440327,0.8791946308724832,0.3627347170055384,0.9133858267716536,0.4206873439897018,0.8993288590604027,0.4170023050172214,0.9330708661417323,0.4782204593757666,0.8993288590604027,0.4879367776522588,0.9291338582677166,0.5440731462691154,0.8993288590604027,254,149,hhs1,patchtst,42
0.2671813573769807,0.8858267716535433,0.27896277058213664,0.9261744966442953,0.3335265042908228,0.9488188976377953,0.38125799217868356,0.9194630872483222,0.3913586478764317,0.9488188976377953,0.4390279965551233,0.9261744966442953,0.4480857801773327,0.937007874015748,0.49962754579537266,0.9194630872483222,254,149,hhs1,patchtst,123
0.2749354259226954,0.8543307086614174,0.2953780233161005,0.8187919463087249,0.3521440336636559,0.9133858267716536,0.38612485142493314,0.8926174496644296,0.4115329784815359,0.9173228346456693,0.4601311657151148,0.8859060402684564,0.46584338451043783,0.8818897637795275,0.5212681857692087,0.8791946308724832,254,149,hhs1,patchtst,456
0.27110577600073454,0.9094488188976378,0.27850513248225334,0.8791946308724832,0.3284249770328797,0.9094488188976378,0.3589972358260001,0.8859060402684564,0.3788579190909264,0.937007874015748,0.4299933640011582,0.8993288590604027,0.44113541113548904,0.9173228346456693,0.48021943057056027,0.8926174496644296,254,149,hhs1,patchtst,789
0.20629974203259385,0.9330708661417323,0.2045002850493122,0.9261744966442953,0.30500147441155995,0.9212598425196851,0.33690193910741095,0.8926174496644296,0.3745610685187485,0.9015748031496063,0.4263048462492701,0.8657718120805369,0.4059014744933493,0.9133858267716536,0.47581012771727715,0.8859060402684564,254,149,hhs1,patchtst,1024
0.1535516352794792,0.9221789883268483,0.18364753193917413,0.9060402684563759,0.2742310727271217,0.9105058365758755,0.3275550291559937,0.9060402684563759,0.37183996922967777,0.8521400778210116,0.4482975473191215,0.87248322147651,0.46875202832197066,0.8560311284046692,0.5603848150400055,0.8791946308724832,257,149,hhs1,cg_mamba,42
0.1483554269734149,0.9299610894941635,0.18410818793385436,0.9060402684563759,0.2652655668331063,0.9066147859922179,0.33790836801161905,0.8791946308724832,0.36920807247120896,0.8871595330739299,0.4739915015875237,0.8523489932885906,0.4545327692234868,0.8871595330739299,0.5779185445456483,0.8657718120805369,257,149,hhs1,cg_mamba,123
0.1529067244327674,0.9027237354085603,0.18344582007192797,0.8859060402684564,0.269741184604356,0.8949416342412452,0.32160277340652155,0.8791946308724832,0.37077550446926855,0.8754863813229572,0.4461272731358781,0.8523489932885906,0.45633723382975033,0.8638132295719845,0.544740325826846,0.8456375838926175,257,149,hhs1,cg_mamba,456
0.1495059840264092,0.9182879377431906,0.18066716410701592,0.8993288590604027,0.2734774778564216,0.8871595330739299,0.3220413536026127,0.9060402684563759,0.3752921646952854,0.8443579766536965,0.4408038265267533,0.8859060402684564,0.4743655321724219,0.8210116731517509,0.5492368408902606,0.8657718120805369,257,149,hhs1,cg_mamba,789
0.150064209630478,0.9221789883268483,0.18412806469196177,0.8993288590604027,0.26698429225956966,0.9105058365758755,0.3286175942066202,0.8926174496644296,0.35823646196142156,0.9027237354085603,0.4424980163474376,0.8859060402684564,0.4558263758900755,0.8949416342412452,0.5650153434807369,0.8791946308724832,257,149,hhs1,cg_mamba,1024
0.21184763773110774,0.905511811023622,0.21194313459162573,0.8993288590604027,0.3634388396124476,0.8818897637795275,0.3414531994568179,0.8859060402684564,0.48390248140398484,0.8661417322834646,0.4391358829711187,0.8791946308724832,0.5888828772543406,0.8110236220472441,0.5352690974072724,0.8456375838926175,254,149,hhs2,dlinear,-1
0.24277245482193618,0.9133858267716536,0.25431669856856715,0.8926174496644296,0.42739708744652016,0.8818897637795275,0.44153488281024944,0.8590604026845637,0.5245990298648804,0.8543307086614174,0.5351546313912119,0.8389261744966443,0.6402102147653,0.8346456692913385,0.6611078391642179,0.825503355704698,254,149,hhs2,lstm,42
0.22511247019687283,0.9212598425196851,0.23916608303626302,0.9060402684563759,0.3945784574993042,0.9133858267716536,0.41263186610297337,0.8993288590604027,0.5288712365926782,0.8818897637795275,0.5582387489248791,0.87248322147651,0.6647607386326023,0.8267716535433071,0.700662669956967,0.8120805369127517,254,149,hhs2,lstm,123
0.314726847213935,0.7598425196850394,0.34357305089392653,0.7516778523489933,0.48399026569233705,0.7795275590551181,0.5323129146144046,0.7583892617449665,0.6735318590407393,0.7440944881889764,0.7281578227879926,0.7248322147651006,0.7657891480664335,0.7283464566929134,0.8173609933036928,0.7248322147651006,254,149,hhs2,lstm,456
0.2575416878940765,0.8818897637795275,0.2738573838123539,0.8523489932885906,0.40813935296151743,0.8661417322834646,0.40429197487930396,0.8590604026845637,0.5019942207273284,0.9133858267716536,0.48647999066590764,0.9060402684563759,0.5989946539671078,0.889763779527559,0.5675453424191798,0.8993288590604027,254,149,hhs2,lstm,789
0.21480244519704897,0.8858267716535433,0.21736573834146136,0.8926174496644296,0.36920650999695565,0.8464566929133859,0.38138181170203145,0.8657718120805369,0.499623734290416,0.8188976377952756,0.5193603296022831,0.8456375838926175,0.5937323026247013,0.7874015748031497,0.6144893144270305,0.8187919463087249,254,149,hhs2,lstm,1024
0.3763441080175957,0.8267716535433071,0.4086126347065741,0.8322147651006712,0.5084572297869129,0.8110236220472441,0.5035047592820819,0.7919463087248322,0.6564537848206006,0.8307086614173228,0.6220308824063908,0.825503355704698,0.7529178818274319,0.8267716535433071,0.6926437414040528,0.8389261744966443,254,149,hhs2,vanilla_mamba,42
0.3395929974933864,0.9094488188976378,0.3731596576974369,0.8993288590604027,0.4714452546862063,0.8228346456692913,0.4873466470595559,0.785234899328859,0.6519565305594709,0.8543307086614174,0.6454644227896836,0.825503355704698,0.8016539417287591,0.8543307086614174,0.767179006904798,0.8523489932885906,254,149,hhs2,vanilla_mamba,123
0.32257914533613474,0.8937007874015748,0.3632242181638542,0.87248322147651,0.419502812982054,0.8543307086614174,0.4363130519535587,0.825503355704698,0.553848861745932,0.8346456692913385,0.5467706986089376,0.825503355704698,0.6400391158417116,0.8188976377952756,0.628769357815095,0.825503355704698,254,149,hhs2,vanilla_mamba,456
0.3248668894917354,0.8228346456692913,0.34622704256246584,0.8053691275167785,0.5092784580175993,0.8188976377952756,0.4841371948799513,0.825503355704698,0.6803654242647003,0.8503937007874016,0.6300708849430828,0.8590604026845637,0.7935796643458113,0.8385826771653543,0.7505918183197537,0.8322147651006712,254,149,hhs2,vanilla_mamba,789
0.32099844925580395,0.9212598425196851,0.3563794944376949,0.912751677852349,0.5095047993354381,0.8267716535433071,0.5098077423299598,0.8322147651006712,0.6433903728271957,0.84251968503937,0.596761759386157,0.8657718120805369,0.7313330077733176,0.8858267716535433,0.6723437602266159,0.8993288590604027,254,149,hhs2,vanilla_mamba,1024
0.31466033424894346,0.84251968503937,0.3273021453880086,0.8389261744966443,0.44823215173804815,0.8307086614173228,0.48222993625664906,0.8187919463087249,0.5532545259539886,0.7559055118110236,0.5828695273369738,0.7651006711409396,0.6866124743318385,0.7086614173228346,0.6943995910382432,0.7449664429530202,254,149,hhs2,patchtst,42
0.326687231043122,0.7874015748031497,0.29870023488998126,0.8590604026845637,0.42953406513583264,0.8188976377952756,0.4268423996931177,0.8120805369127517,0.5433726092133397,0.7480314960629921,0.5245844452719316,0.7315436241610739,0.6458116799453308,0.7283464566929134,0.6251120259393673,0.7181208053691275,254,149,hhs2,patchtst,123
0.3389106919056564,0.8070866141732284,0.34395764013896074,0.7785234899328859,0.4525226653665065,0.8503937007874016,0.4707379090395726,0.8322147651006712,0.5214259539042144,0.8149606299212598,0.5260491164116001,0.8120805369127517,0.6062013841915307,0.7362204724409449,0.5909255815791306,0.7315436241610739,254,149,hhs2,patchtst,456
