baseline,seed,n_full,n_strict,dropout,tF_wis_h1,tF_cov95_h1,tS_wis_h1,tS_cov95_h1,tF_wis_h2,tF_cov95_h2,tS_wis_h2,tS_cov95_h2,tF_wis_h3,tF_cov95_h3,tS_wis_h3,tS_cov95_h3,tF_wis_h4,tF_cov95_h4,tS_wis_h4,tS_cov95_h4,region
epideep,42,254,149,0.1,0.2145404618251552,0.5,0.19780358304835144,0.5973154362416108,0.31263435616066443,0.468503937007874,0.2958441399434391,0.5637583892617449,0.4141907072058078,0.41338582677165353,0.3766773046214413,0.4966442953020134,0.4782863323410634,0.4448818897637795,0.41641990762050657,0.4899328859060403,hhs7
epideep,123,254,149,0.1,0.22292738966318387,0.421259842519685,0.22024379655242327,0.5570469798657718,0.30493859360144066,0.38976377952755903,0.34600971339402004,0.48322147651006714,0.36528979074330137,0.3937007874015748,0.4273921830145855,0.436241610738255,0.4114319437942941,0.3858267716535433,0.47974292992453593,0.44966442953020136,hhs7
epideep,456,254,149,0.1,0.17838612479416324,0.5433070866141733,0.17758915428869018,0.610738255033557,0.2789787550092519,0.4251968503937008,0.3121022766800709,0.4429530201342282,0.363348104807356,0.35039370078740156,0.4089047022334751,0.35570469798657717,0.4086935951870135,0.3543307086614173,0.4533218424343527,0.35570469798657717,hhs7
epideep,789,254,149,0.1,0.17135431761102538,0.5826771653543307,0.15735474834923568,0.6778523489932886,0.26446352303150544,0.5078740157480315,0.2768134033137311,0.5973154362416108,0.33459863090833464,0.4566929133858268,0.3629275349188658,0.5234899328859061,0.381943160282631,0.468503937007874,0.41656649597052203,0.5369127516778524,hhs7
epideep,1024,254,149,0.1,0.21400563258179062,0.48031496062992124,0.19397402735847163,0.5973154362416108,0.31142073644934437,0.43700787401574803,0.3085716627645006,0.5704697986577181,0.39902224665018576,0.41338582677165353,0.3789991295083309,0.4966442953020134,0.4623496262335787,0.4094488188976378,0.415167602566219,0.5234899328859061,hhs7
dlinear_ensemble_gauss,-1,254,149,,0.21352207335883436,0.3464566929133858,0.228976904391989,0.3221476510067114,0.3674507192349311,0.2874015748031496,0.401372857797219,0.28859060402684567,0.4752608884680294,0.30708661417322836,0.5119139544938688,0.30201342281879195,0.5572550416725026,0.2952755905511811,0.5926487841482027,0.3221476510067114,hhs7
epideep,42,254,149,0.1,0.23736512383076885,0.44881889763779526,0.22614542422974326,0.5033557046979866,0.3492558704342123,0.37401574803149606,0.3064638559085863,0.4161073825503356,0.4531965144840731,0.33070866141732286,0.3786932242152327,0.38926174496644295,0.513101595381746,0.3464566929133858,0.40656783894821896,0.40939597315436244,hhs8
epideep,123,254,149,0.1,0.2579508667763416,0.35826771653543305,0.26329112795923204,0.4161073825503356,0.3575816535219188,0.2952755905511811,0.39677442789164724,0.3221476510067114,0.4345359193120191,0.2677165354330709,0.49626860111690946,0.2953020134228188,0.4920935015951228,0.3031496062992126,0.5705912738897587,0.2953020134228188,hhs8
epideep,456,254,149,0.1,0.21288640224068428,0.4763779527559055,0.20670607224232887,0.5033557046979866,0.31432041169977976,0.33070866141732286,0.32345545806758147,0.31543624161073824,0.40761949970905037,0.2283464566929134,0.4255495357242102,0.21476510067114093,0.4640936189853178,0.24803149606299213,0.49524673959344134,0.2348993288590604,hhs8
epideep,789,254,149,0.1,0.2005164157482134,0.4881889763779528,0.17786438622748083,0.5704697986577181,0.2946537431657253,0.4015748031496063,0.27678295758398763,0.44966442953020136,0.3947762412710249,0.33070866141732286,0.3991847650598499,0.3624161073825503,0.47612360000722587,0.2992125984251969,0.5115408587179207,0.28859060402684567,hhs8
