sample_idx,horizon,target_ep,mu_CGM_raw,mu_HMM_raw,y_raw,sigma2_within,sigma2_between_HMM,bias_sq,sigma2_total
83,2,202420,1.9949408769607544,3.287816286087036,1.9765700101852417,1.1970725059509277,0.0015736714703962207,1.0452488660812378,1.1986461877822876
83,3,202421,1.867509365081787,3.2877297401428223,1.9070700407028198,1.197035551071167,0.001716731465421617,1.2612985372543335,1.1987522840499878
83,4,202422,1.7247883081436157,3.2877516746520996,1.8765100240707397,1.197047472000122,0.001689261756837368,1.5275800228118896,1.1987367868423462
84,1,202420,1.9616515636444092,3.2827439308166504,1.9765700101852417,1.1946659088134766,0.009080098941922188,1.091371774673462,1.20374596118927
84,2,202421,1.9162343740463257,3.271792411804199,1.9070700407028198,1.1895074844360352,0.0253088790923357,1.149059534072876,1.2148163318634033
84,3,202422,1.782750129699707,3.2436084747314453,1.8765100240707397,1.1762210130691528,0.06634571403265,1.3345123529434204,1.242566704750061
84,4,202423,1.6089022159576416,3.1703460216522217,1.6606500148773193,1.141674280166626,0.16833820939064026,1.524611234664917,1.3100124597549438
85,1,202421,1.9422417879104614,3.2858822345733643,1.9070700407028198,1.196138858795166,0.004382851533591747,1.1289442777633667,1.20052170753479
85,2,202422,1.908148169517517,3.286055088043213,1.8765100240707397,1.196223497390747,0.004135957919061184,1.1872611045837402,1.2003594636917114
85,3,202423,1.792617917060852,3.2862367630004883,1.6606500148773193,1.1963121891021729,0.003875808324664831,1.3950377702713013,1.2001880407333374
85,4,202424,1.6688506603240967,3.286421775817871,1.581779956817627,1.1964019536972046,0.0036095045506954193,1.6361877918243408,1.2000114917755127
86,1,202422,1.8704071044921875,3.285459041595459,1.8765100240707397,1.1959563493728638,0.00507341930642724,1.2521352767944336,1.2010297775268555
86,2,202423,1.8210976123809814,3.2851758003234863,1.6606500148773193,1.1958271265029907,0.005510901100933552,1.3404018878936768,1.2013380527496338
86,3,202424,1.7165508270263672,3.285126209259033,1.581779956817627,1.1958062648773193,0.005594778805971146,1.5385695695877075,1.2014009952545166
86,4,202425,1.6061453819274902,3.2853426933288574,1.4924399852752686,1.1959102153778076,0.005277268122881651,1.76323401927948,1.2011874914169312
87,1,202423,1.8594837188720703,3.273575782775879,1.6606500148773193,1.1902916431427002,0.022478949278593063,1.2504370212554932,1.2127705812454224
87,2,202424,1.8281702995300293,3.2546205520629883,1.581779956817627,1.1812777519226074,0.04995402693748474,1.2723883390426636,1.2312318086624146
87,3,202425,1.7162271738052368,3.2057456970214844,1.4924399852752686,1.158087968826294,0.11890874058008194,1.387388825416565,1.2769967317581177
87,4,202426,1.56806218624115,3.0556492805480957,1.4663000106811523,1.0870658159255981,0.31268179416656494,1.3837928771972656,1.399747610092163
88,1,202424,1.639221429824829,3.2868266105651855,1.581779956817627,1.196611762046814,0.003071962157264352,1.6975116729736328,1.199683666229248
88,2,202425,1.6139798164367676,3.288196563720703,1.4924399852752686,1.1972578763961792,0.0010274763917550445,1.7527894973754883,1.1982853412628174
88,3,202426,1.5398502349853516,3.288784980773926,1.4663000106811523,1.197535514831543,0.00014808456762693822,1.9127299785614014,1.197683572769165
88,4,202427,1.4491281509399414,3.2888779640197754,1.376389980316162,1.1975793838500977,9.442485861654859e-06,2.1165273189544678,1.1975888013839722
89,1,202425,1.5832356214523315,3.2480356693267822,1.4924399852752686,1.1783121824264526,0.05997895449399948,1.7331275939941406,1.2382911443710327
89,2,202426,1.5754969120025635,3.195528984069824,1.4663000106811523,1.1535472869873047,0.13403010368347168,1.6411699056625366,1.2875773906707764
89,3,202427,1.4890116453170776,3.0726680755615234,1.376389980316162,1.0956037044525146,0.29384052753448486,1.5682969093322754,1.3894442319869995
89,4,202428,1.3778916597366333,2.7906861305236816,1.4554799795150757,0.9626198410987854,0.5892565846443176,1.2481430768966675,1.551876425743103
90,1,202426,1.4950551986694336,3.26413631439209,1.4663000106811523,1.1859097480773926,0.03659503906965256,1.9570497274398804,1.222504734992981
90,2,202427,1.4930322170257568,3.2680091857910156,1.376389980316162,1.1877368688583374,0.030920878052711487,1.970116376876831,1.2186577320098877
90,3,202428,1.4389296770095825,3.2746710777282715,1.4554799795150757,1.190878987312317,0.021112877875566483,2.107314348220825,1.2119919061660767
90,4,202429,1.3782250881195068,3.280888557434082,1.4523299932479858,1.1938114166259766,0.01190818939357996,2.2637598514556885,1.2057195901870728
91,1,202427,1.4922232627868652,3.2733888626098633,1.376389980316162,1.1902722120285034,0.02299763448536396,1.9838777780532837,1.213269829750061
91,2,202428,1.5067963600158691,3.2786593437194824,1.4554799795150757,1.1927582025527954,0.015208604745566845,1.9632092714309692,1.2079668045043945
91,3,202429,1.459363341331482,3.2820959091186523,1.4523299932479858,1.194379448890686,0.010110449977219105,2.0775539875030518,1.2044899463653564
91,4,202430,1.418887734413147,3.284275531768799,1.5221099853515625,1.1954076290130615,0.006870056502521038,2.1759281158447266,1.202277660369873
92,1,202428,1.4145753383636475,3.2136614322662354,1.4554799795150757,1.162104606628418,0.10886525362730026,2.023998737335205,1.2709698677062988
92,2,202429,1.447634220123291,3.1320347785949707,1.4523299932479858,1.1236094236373901,0.21900160610675812,1.7741780281066895,1.3426110744476318
92,3,202430,1.4123454093933105,2.9762449264526367,1.5221099853515625,1.05013906955719,0.4060777425765991,1.5294108390808105,1.456216812133789
92,4,202431,1.3757076263427734,2.7337496280670166,1.5354299545288086,0.9357792735099792,0.6368774771690369,1.1532747745513916,1.5726567506790161
93,1,202429,1.5104056596755981,3.2739715576171875,1.4523299932479858,1.1905460357666016,0.022134529426693916,1.9448660612106323,1.2126805782318115
93,2,202430,1.5512789487838745,3.2825584411621094,1.5221099853515625,1.1945968866348267,0.009420834481716156,1.8743067979812622,1.2040177583694458
93,3,202431,1.5270222425460815,3.2863895893096924,1.5354299545288086,1.1964044570922852,0.003719624597579241,1.9356170892715454,1.2001240253448486
93,4,202432,1.514346718788147,3.287947177886963,1.5398399829864502,1.1971397399902344,0.0013970636064186692,1.96706223487854,1.19853675365448
94,1,202430,1.5258694887161255,3.2347326278686523,1.5221099853515625,1.1720280647277832,0.07903341203927994,1.8260844945907593,1.2510614395141602
94,2,202431,1.5924675464630127,3.200000047683716,1.5354299545288086,1.1556222438812256,0.12773892283439636,1.6159425973892212,1.2833611965179443
94,3,202432,1.5896732807159424,3.130373477935791,1.5398399829864502,1.1227247714996338,0.220799058675766,1.4843719005584717,1.3435238599777222
94,4,202433,1.606312870979309,2.9798777103424072,1.5657700300216675,1.05161714553833,0.4012296497821808,1.1797900199890137,1.4528467655181885
95,1,202431,1.6206134557724,3.1476802825927734,1.5354299545288086,1.1309548616409302,0.1984216421842575,1.458217978477478,1.329376459121704
95,2,202432,1.7276990413665771,2.9815597534179688,1.5398399829864502,1.052596092224121,0.40002092719078064,0.983116626739502,1.4526170492172241
95,3,202433,1.7631129026412964,2.607970952987671,1.5657700300216675,0.8763984441757202,0.7273979783058167,0.4463483691215515,1.6037964820861816
95,4,202434,1.7982730865478516,1.961133360862732,1.769879937171936,0.5713542699813843,0.881573498249054,0.01658579893410206,1.452927827835083
96,1,202432,1.6474056243896484,3.152188777923584,1.5398399829864502,1.133094310760498,0.19251321256160736,1.415970802307129,1.3256075382232666
96,2,202433,1.7546930313110352,3.1075525283813477,1.5657700300216675,1.112040638923645,0.25033101439476013,1.1444891691207886,1.3623716831207275
96,3,202434,1.7839980125427246,3.0495874881744385,1.769879937171936,1.0847015380859375,0.3216962218284607,1.0015949010849,1.406397819519043
96,4,202435,1.8299241065979004,2.9720683097839355,1.9341399669647217,1.048140287399292,0.4105724096298218,0.8157332539558411,1.4587126970291138
97,1,202433,1.6642112731933594,3.1634035110473633,1.5657700300216675,1.1383856534957886,0.17760173976421356,1.405468225479126,1.3159873485565186
97,2,202434,1.774061918258667,3.16507625579834,1.769879937171936,1.1391736268997192,0.17536017298698425,1.2099560499191284,1.3145338296890259
97,3,202435,1.8025723695755005,3.1728577613830566,1.9341399669647217,1.1428426504135132,0.16489538550376892,1.1741629838943481,1.3077380657196045
97,4,202436,1.841793179512024,3.1841297149658203,1.920199990272522,1.1481575965881348,0.14960357546806335,1.1267540454864502,1.2977612018585205
98,1,202434,1.6907607316970825,3.24346923828125,1.769879937171936,1.1761579513549805,0.06655498594045639,1.5076003074645996,1.2427129745483398
98,2,202435,1.7944778203964233,3.2704360485076904,1.9341399669647217,1.1888790130615234,0.02734534628689289,1.3622428178787231,1.2162243127822876
98,3,202436,1.8317946195602417,3.281111240386963,1.920199990272522,1.1939152479171753,0.011572887189686298,1.3135089874267578,1.2054880857467651
98,4,202437,1.876173973083496,3.2850828170776367,1.9552799463272095,1.195788860321045,0.005669624079018831,1.2412867546081543,1.20145845413208
99,1,202435,1.904209017753601,3.2846922874450684,1.9341399669647217,1.1955429315567017,0.006032437086105347,1.1917046308517456,1.2015753984451294
99,2,202436,2.028770923614502,3.286867141723633,1.920199990272522,1.1965179443359375,0.002611727686598897,0.9897696375846863,1.1991297006607056
99,3,202437,2.086451292037964,3.286635398864746,1.9552799463272095,1.1963675022125244,0.0028130169957876205,0.9007453322410583,1.1991804838180542
99,4,202438,2.1433537006378174,3.2866153717041016,1.953029990196228,1.1963549852371216,0.002831796882674098,0.8173304200172424,1.1991868019104004
100,1,202436,2.0830299854278564,3.2851643562316895,1.920199990272522,1.1956665515899658,0.00498020276427269,0.9036751985549927,1.2006467580795288
100,2,202437,2.2230591773986816,3.2846648693084717,1.9552799463272095,1.1953153610229492,0.0053152707405388355,0.7047465443611145,1.2006306648254395
100,3,202438,2.290257215499878,3.2832798957824707,1.953029990196228,1.1945524215698242,0.006987874861806631,0.6166301369667053,1.2015403509140015
100,4,202439,2.35526704788208,3.2825708389282227,1.9349499940872192,1.1941672563552856,0.007863020524382591,0.5377130508422852,1.2020303010940552
101,1,202437,2.0826492309570312,3.276238441467285,1.9552799463272095,1.1914973258972168,0.018369417637586594,0.8908740282058716,1.2098667621612549
101,2,202438,2.2398855686187744,3.2708382606506348,1.953029990196228,1.1889235973358154,0.02624104730784893,0.6646358370780945,1.2151646614074707
101,3,202439,2.324169874191284,3.2626121044158936,1.9349499940872192,1.1850121021270752,0.0381927415728569,0.5507081747055054,1.2232048511505127
101,4,202440,2.4115452766418457,3.2495574951171875,1.9050899744033813,1.178817868232727,0.05703222006559372,0.439144492149353,1.2358500957489014
102,1,202438,2.119018316268921,3.286710262298584,1.953029990196228,1.1964997053146362,0.0030435409862548113,0.852634608745575,1.1995432376861572
102,2,202439,2.279534339904785,3.287848949432373,1.9349499940872192,1.197056531906128,0.0014141460414975882,0.6357676982879639,1.1984707117080688
102,3,202440,2.370375156402588,3.288358688354492,1.9050899744033813,1.1973105669021606,0.0007010389817878604,0.5269583463668823,1.1980116367340088
